Notes,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Race,Race Code,Deaths,Population
,1999,1999,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,163,23878
,1999,1999,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,333,78302
,1999,1999,< 1 year,1,Female,F,Black or African American,2054-5,3925,297942
,1999,1999,< 1 year,1,Female,F,White,2106-3,7870,1452001
Total,1999,1999,< 1 year,1,Female,F,,,12291,1852123
,1999,1999,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,180,24937
,1999,1999,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,372,82483
,1999,1999,< 1 year,1,Male,M,Black or African American,2054-5,4897,307443
,1999,1999,< 1 year,1,Male,M,White,2106-3,10197,1528776
Total,1999,1999,< 1 year,1,Male,M,,,15646,1943639
Total,1999,1999,< 1 year,1,,,,,27937,3795762
,1999,1999,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,34,99441
,1999,1999,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,69,330111
,1999,1999,1-4 years,4-Jan,Female,F,Black or African American,2054-5,565,1226088
,1999,1999,1-4 years,4-Jan,Female,F,White,2106-3,1606,5837974
Total,1999,1999,1-4 years,4-Jan,Female,F,,,2274,7493614
,1999,1999,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,48,103113
,1999,1999,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,97,335331
,1999,1999,1-4 years,4-Jan,Male,M,Black or African American,2054-5,746,1264461
,1999,1999,1-4 years,4-Jan,Male,M,White,2106-3,2084,6143263
Total,1999,1999,1-4 years,4-Jan,Male,M,,,2975,7846168
Total,1999,1999,1-4 years,4-Jan,,,,,5249,15339782
,1999,1999,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,50,284195
,1999,1999,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,95,796365
,1999,1999,5-14 years,14-May,Female,F,Black or African American,2054-5,693,3319428
,1999,1999,5-14 years,14-May,Female,F,White,2106-3,2265,15508294
Total,1999,1999,5-14 years,14-May,Female,F,,,3103,19908282
,1999,1999,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,55,292501
,1999,1999,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,113,839755
,1999,1999,5-14 years,14-May,Male,M,Black or African American,2054-5,1096,3423744
,1999,1999,5-14 years,14-May,Male,M,White,2106-3,3228,16355542
Total,1999,1999,5-14 years,14-May,Male,M,,,4492,20911542
Total,1999,1999,5-14 years,14-May,,,,,7595,40819824
,1999,1999,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,144,241721
,1999,1999,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,231,885481
,1999,1999,15-24 years,15-24,Female,F,Black or African American,2054-5,1718,2933172
,1999,1999,15-24 years,15-24,Female,F,White,2106-3,6149,14799810
Total,1999,1999,15-24 years,15-24,Female,F,,,8242,18860184
,1999,1999,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,396,256867
,1999,1999,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,467,905699
,1999,1999,15-24 years,15-24,Male,M,Black or African American,2054-5,5348,2897187
,1999,1999,15-24 years,15-24,Male,M,White,2106-3,16203,15756094
Total,1999,1999,15-24 years,15-24,Male,M,,,22414,19815847
Total,1999,1999,15-24 years,15-24,,,,,30656,38676031
,1999,1999,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,227,212392
,1999,1999,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,320,1085864
,1999,1999,25-34 years,25-34,Female,F,Black or African American,2054-5,3392,2885410
,1999,1999,25-34 years,25-34,Female,F,White,2106-3,8851,15761424
Total,1999,1999,25-34 years,25-34,Female,F,,,12790,19945090
,1999,1999,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,418,220463
,1999,1999,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,586,1021865
,1999,1999,25-34 years,25-34,Male,M,Black or African American,2054-5,6723,2599698
,1999,1999,25-34 years,25-34,Male,M,White,2106-3,20549,16391290
Total,1999,1999,25-34 years,25-34,Male,M,,,28276,20233316
